,날짜,언론사,제목,sentiment
409,2022.02.18,한국금융신문,"테슬라, 기술결함 논란에 과장광고…신생기업 약점 보였나",0
410,2022.02.18,허프포스트코리아,테슬라 CEO 일론 머스크의 스타트업 기업 '뉴럴링크'가 원숭이 학대 논란에 휩싸였다 (영상),0
412,2022.02.18,SBS Biz,"[글로벌 비즈] 美 교통당국, 테슬라 ‘오토파일럿 제동’ 문제로 41만6천 대 공식 조사",0
414,2022.02.18,디지털데일리,"우크라이나 사태 악화, 미 증시 급락… 엔비디아‧테슬라 또 ‘악재’",0
415,2022.02.18,뉴스1,[속보] 테슬라 5.09% 급락한 876.35달러에 마감,0
416,2022.02.18,핀포인트뉴스,테슬라 5% 이상 폭락... 삼성SDI LG화학 SK이노베이션 주가 어디로?,0
421,2022.02.18,글로벌이코노믹,"머스크 ""테슬라 모델3 왜 빼""… 바이든 대통령 또 비난",0
423,2022.02.18,글로벌경제,"테슬라 5%, 엔비디아 7% ↓...뉴욕증시, 우크라이나 전운 고조에 또다시 급락",0
425,2022.02.18,SBS Biz,"[간밤 뉴욕증시 글로벌뉴스 총정리] '급제동' 테슬라 41만6천대 조사…美 ""알리바바는 유해한 플랫폼""",0
428,2022.02.18,핀포인트뉴스,"테슬라·리비안·루시드, 나란히 '급락'…우크라 위기에 SEC 충돌 '이중고'",0
430,2022.02.18,뉴스투데이,"[N2 모닝 경제 브리핑-2월 18일] 美 증시, 우크라 긴장 고조 속 하락...테슬라·엔비디아 5%대 이상↓",0
432,2022.02.18,이코노뉴스,"뉴욕증시, 우크라이나 위기 고조에 하락…애플 2%대, 테슬라 5%대 등 기술주 하락-도어대시 10%대 급등세",0
436,2022.02.18,한국금융신문,우크라 긴장감에 뉴욕증시 3대지수 다시 '휘청'…테슬라·엔비디아↓,0
692,2022.02.18,조선일보,"“테슬라 가다가 갑자기 선다”... 美 당국, 42만대 조사 착수",0
693,2022.02.18,전자신문,이유 없는 급제동'...테슬라 차 41만대 조사 받는다,0
694,2022.02.18,SBS Biz,"美, ‘이유 없는 급제동’ 테슬라 41.6만대 조사 착수",0
695,2022.02.18,YTN,"美 당국, '이유 없는 급제동' 테슬라 차 41만대 조사 착수",0
696,2022.02.18,이데일리,"미 교통안전당국, 테슬라 급제동 관련 조사 착수",0
697,2022.02.18,연합뉴스,"美 당국, '이유 없는 급제동' 테슬라 차 41만6천대 조사 착수",0
698,2022.02.18,블로터,"미 당국, ‘이유 없는 급제동’ 테슬라 차량 41만6000대 조사 착수",0
699,2022.02.18,한겨레,"“테슬라, 고속도로서 급제동” 민원 354건…미 정부 조사 착수",0
700,2022.02.18,MBC,"美 당국, '이유 없는 급제동' 테슬라 차 41만6천대 조사 착수",0
701,2022.02.18,SBS,"美 당국, '이유 없는 급제동' 테슬라 차 41만 6천 대 조사 착수",0
702,2022.02.18,OBS,"미, '급제동 발생' 테슬라 전기차 조사 착수",0
703,2022.02.18,중앙일보,"이유 없는 급제동…美, 조사 나선 41만6000대 테슬라 모델은",0
704,2022.02.18,조선비즈,"美 교통안전국, ‘주행중 급제동’ 테슬라 차량 41만대 조사 착수",0
705,2022.02.18,경향신문,“테슬라 전기차 이유 없이 급제동” 소비자 불만…미 당국 조사 나서,0
706,2022.02.18,한국경제TV,테슬라 '이유 없는 급제동 차' 41만6천대 조사 받는다,0
707,2022.02.18,데일리한국,"美 도로교통안전국, 테슬라 차량 41만6000대 급제동 문제 조사",0
708,2022.02.18,ZDNet Korea,"美 도로교통안전국, 테슬라 차량 급제동 문제조사 착수",0
709,2022.02.18,UPI뉴스,위기의 테슬라…포드에 밀리고 '급제동' 수사까지,0
710,2022.02.18,SBS Biz,"美 교통당국, 테슬라 ‘오토파일럿 급제동’ 문제 공식 조사 착수",0
711,2022.02.18,헬로티,"이번엔 급제동?' 美 당국, 테슬라에 네 번째 조사 착수해",0
712,2022.02.18,글로벌이코노믹,"美 당국, 테슬라 주행 중 급제동 안전 조사 착수",0
713,2022.02.18,연합뉴스TV,"미 당국, '이유 없는 급제동' 테슬라 차 조사 착수",0
714,2022.02.18,글로벌이코노믹,"美 교통당국, 테슬라 ‘오토파일럿 결함 조사'…주가 5.09%↓",0
715,2022.02.18,오피니언뉴스,"""테슬라 전기차, 이유없는 급제동""···美당국 공식조사 착수",0
716,2022.02.18,뉴스퀘스트,"美 교통안전국, 테슬라 41만6000대 급제동 문제 조사 착수",0
717,2022.02.18,핀포인트뉴스,"테슬라, 고속 주행 중 급제동 이슈로 또 美 교통당국 조사 받아",0
811,2022.02.18,조선비즈,추락하는 테슬라...포드 ‘머스탱 마하-E’에 최고 전기車 자리 내줘,0
812,2022.02.18,머니S,“최고의 전기차는 테슬라 아닌 포드”… 美 매체 평가서 혹평,0
813,2022.02.18,ZDNet Korea,"""테슬라 추월""…포드의 전기차 야심 현실화되나",0
814,2022.02.18,머니투데이,"""테슬라 실망"" 2년만에 톱 자리 내줬다…美 선호 '전기차 1위'는?",0
815,2022.02.18,아시아경제,"테슬라, 美컨슈머리포트 추천 전기車 순위 '뚝'…톱픽 자리도 뺏겨",0
816,2022.02.18,연합뉴스,美 컨슈머리포트 추천 전기차는 포드 마하-E…테슬라 제쳐,0
817,2022.02.18,디지털데일리,"포드, 테슬라 제쳤다…'머스탱 마하-E' 올해 최고의 EV 등극",0
818,2022.02.18,핀포인트뉴스,"포드 전기차, 테슬라 제치고 美 소비자 선정 'TOP' 올라",0
819,2022.02.18,한국경제TV,올해의 전기차 1위 '포드 머스탱 마하-E'...테슬라 모델3 제쳐,0
820,2022.02.18,아이티데일리,"[글로벌] 포드 머스탱 마하-E ""최고 전기차""…테슬라 모델3 제쳤다",0
821,2022.02.18,ZDNet Korea,"포드 머스탱 마하-E, 최고 전기차 선정…""테슬라 모델3 제쳐""",0
822,2022.02.18,오피니언뉴스,"美 전기차, '포드머스탱마하-E'가 테슬라모델3 제치고 '1위'",0
1014,2022.02.18,아시아경제,"조용할 날 없는 테슬라…""'정부 비판' 머스크 입 막으려 조사""",0
1015,2022.02.18,연합뉴스,"테슬라 ""정부 비판 머스크의 입 막으려 美증권위가 조사나서""",0
1016,2022.02.18,뉴스1,"머스크 SEC와 정면충돌, 테슬라 5% 급락해 ‘팔백슬라’(상보)",0
1017,2022.02.18,머니투데이,테슬라 5% 급락…'선호도·안전·SEC' 3중 악재에 밀렸다,0
1018,2022.02.18,문화일보,테슬라 “정부 비판 머스크의 입 막으려 美증권위가 조사 나서”,0
1019,2022.02.18,SBS Biz,"테슬라 “美 SEC, 정부 비판 머스크 막으려 조사”",0
1020,2022.02.18,Korea IT Times,"테슬라 ""바이든 행정부 비판 입막으려 조사""",0
1022,2022.02.18,뉴스핌,"테슬라 ""SEC, 머스크가 바이든 비판했다고 가혹하게 괴롭혀""",0
1023,2022.02.18,SBS Biz,"[글로벌 비즈 브리핑] ​​​​​​​테슬라 “美 SEC, 정부 비판 머스크 입막으려 조사”",0
1156,2022.01.03,조선비즈,"[단독] 공정위, 테슬라 전자상거래법 위반 혐의로 제재 착수…심사보고서 발송",0
1157,2022.01.03,파이낸셜뉴스,"美 테슬라, 공급망 혼란에도 지난해 차량 인도 87% 늘어",1
1158,2022.01.03,뉴시스,"테슬라, 지난해 93.6만대 인도…87% 증가",1
1159,2022.01.03,이데일리,"테슬라, 작년 차량판매 전년比 '2배'…남들은 고작 3%↑",1
1160,2022.01.03,세계일보,반도체 수급난 뚫고… 테슬라 쾌속질주,1
1161,2022.01.03,ZDNet Korea,"테슬라, 차량 판매 신기록 질주…주가도 7% 폭등",1
1162,2022.01.03,국민일보,반도체 부족이 뭔데? 테슬라 2021년 판매 사상 최대,1
1163,2022.01.03,매일경제,"AI끼리 대화하고, 걷는 로봇이 인간 대신 테슬라 車 만든다",1
1164,2022.01.03,전자신문,"테슬라, 작년 전기차 94만여대로 역대 최다 판매",1
1165,2022.01.03,한국경제,"테슬라, 또 판매 신기록…전기車 올해 더 달린다",1
1166,2022.01.03,YTN,"테슬라, 지난해 93만6천여 대 판매...4분기 실적 최다",1
1167,2022.01.03,블로터,"테슬라, 반도체 부족에도 2021년 전기차 94만대 인도했다",1
1169,2022.01.03,머니투데이,"테슬라 45% 뛸 때, 예찬자 '돈나무 언니' ETF는 왜 추락했나",1
1170,2022.01.03,아시아경제,"테슬라, 지난해 차량인도 87% 증가‥4Q에만 30만대",1
1171,2022.01.03,아시아타임즈,"[증권소식] 파생결합증권 잔액 꾸준히 감소/테슬라, 작년에 93만6000여대 판매/KFC, '국내 1호' 종로점 38년만에 폐점 등",1
1172,2022.01.03,머니S,"[美친주] ""테슬라, 올해도 달린다""… 공장 신규 가동·전기차 보조금 '기대'",1
1174,2022.01.03,뉴스1,"[뉴욕개장] 테슬라, 새해 첫 거래일부터 폭등…혼조 출발",1
1175,2022.01.03,SBS Biz,"[글로벌 비즈] 테슬라, 지난해 인도량 87% 증가…4분기는 역대 최대",1
1177,2022.01.03,연합인포맥스,"테슬라, 분기별 납품 기록 경신…작년 매출 87% 급증",1
1179,2022.01.03,뉴스웍스,"테슬라, 지난해 전기차 판매 87% 늘어…사상 최대 실적 '기염'",1
1180,2022.01.03,엠투데이,"테슬라, 트렁크 결함으로 美 47만5천대. 中 20만대 리콜. 韓도 2건 조사 중",0
1186,2022.01.03,글로벌이코노믹,"테슬라, 미국에 이어 중국에서도 모델S·모델3 20만대 리콜",0
1193,2022.01.03,청년일보,"[뉴스팩트] ""반도체 공급난 무색"" 테슬라 판매량 100만대 육박…""대출 한파 지속"" 가계대출, 14조 감소 전망 外",0
1202,2022.01.03,뉴스투데이,"[N2 모닝 경제 브리핑-1월 3일] 美 증시, 2021년 마지막 거래일 하락...아마존·테슬라·넷플릭스 1%대↓",0
1350,2022.01.03,조선비즈,"테슬라, 반도체 공급난에도 승승장구…차량인도 87% 증가",1
1351,2022.01.03,머니S,"테슬라, 반도체 대란 속 지난해 94만여대 인도… 1년새 87%↑",1
1352,2022.01.03,뉴시스,"테슬라, 지난해 93.6만대 인도…87% 증가",1
1353,2022.01.03,더팩트,"테슬라, 지난해 차량인도 87% 급증…4Q 실적 역대 최다",1
1354,2022.01.03,SBS Biz,"지난해 테슬라 인도량 93.6만대, 87% 증가",1
1355,2022.01.03,MTN,"테슬라, 지난해 93.6만대 인도…전년비 87% 증가",1
1356,2022.01.03,이코노뉴스,"테슬라, 지난해 93만대 생산…""절반 이상은 중국 상하이 공장에서 생산""",1
1357,2022.01.03,파이낸셜뉴스,"美 테슬라, 공급망 혼란에도 지난해 차량 인도 87% 늘어",1
1358,2022.01.03,부산일보,"테슬라 지난해 판매량 93만대, 역대 최다",1
1359,2022.01.03,한국경제TV,"머스크 ""위대한 성과""…테슬라, 4분기 실적 역대 최다",1
1360,2022.01.03,ZDNet Korea,"테슬라, 지난해 94만대 車 판매…전년 대비 87%↑",1
1361,2022.01.03,연합뉴스,"테슬라, 작년에 93만6천여대 판매…4분기 실적은 역대 최다",1
1362,2022.01.03,뉴스1,테슬라 지난해 93만대 판매…6개 분기 연속 사상 최대,1
1363,2022.01.03,중앙일보,반도체 대란 피한 테슬라...지난해 사상 최대' 93만대 인도,1
1364,2022.01.03,서울경제,"칩 부족에도 잘 달렸다···테슬라, 작년 94만대 판매",1
1365,2022.01.03,이투데이,반도체 공급난에도...테슬라 4분기 역대 최다 판매,1
1366,2022.01.03,KBS,"테슬라, 작년 판매랑 93만여대…4분기 실적 역대 최다",1
1367,2022.01.03,중앙일보,"반도체 대란 그게 뭔데? 테슬라, 작년 100만대 가까이 팔았다",1
1368,2022.01.03,헬로티,"지난해 전기차 판매 '100만 대' 육박한 테슬라, 올해 전망은?",1
1369,2022.01.03,중소기업신문,"테슬라, '반도체 대란'에도 판매량 2배 늘렸다",1
1370,2022.01.03,글로벌경제,테슬라 작년 판매대수 93만6000여대…4분기 실적은 역대 최다,1
1371,2022.01.03,베타뉴스,"테슬라, 2021년 93만5천대의 차량 인도…2020년 대비 87% 증가",1
1372,2022.01.03,오피니언뉴스,"美 테슬라, 작년 93만 6000여대 판매···4분기 역대 최다",1
1373,2022.01.03,핀포인트뉴스,"테슬라, 4분기 실적 역대 최다...머스크 ""위대한 성과""",1
1374,2022.01.03,케이벤치,"테슬라, 반도체 공급난 뚫고 작년 93만 6천여대 판매…전년比 87% ↑",1
1375,2022.01.03,딜라이트닷넷,지난해 테슬라 전 세계 인도량 약 94만대,1
1400,2022.01.03,조선비즈,"[단독] 공정위, 테슬라 전자상거래법 위반 혐의로 제재 착수…심사보고서 발송",0
1401,2022.01.03,이데일리,車 구매 취소해도 수수료 ‘꿀꺽’…공정위 테슬라 제재 착수,0
1402,2022.01.03,한국경제TV,"""주문 취소해도 수수료 10만원""…테슬라 제재 착수",0
1403,2022.01.03,서울경제,"테슬라, 車구매 취소해도 수수료 안돌려줘··· 공정위 제재 착수",0
1404,2022.01.03,연합뉴스,"공정위, 온라인 주문 수수료 안 돌려준 테슬라 제재 착수",0
1405,2022.01.03,뉴시스,"공정위, 테슬라 제재 착수…'전자상거래법 위반' 혐의",0
1406,2022.01.03,뉴스1,"공정위, '전자상거래법 위반 의혹' 테슬라 제재 착수",0
1407,2022.01.03,YTN,차량 구매 취소해도 수수료 안 돌려준 테슬라...공정위 제재 착수,0
1408,2022.01.03,머니투데이,"車 구매 취소때 수수료 반납 거절' 공정위, 테슬라 조사 착수",0
1409,2022.01.03,연합인포맥스,"공정위, 주문 취소해도 수수료 10만원 안 돌려준 '테슬라' 제재 착수",0
1410,2022.01.03,헤럴드경제,테슬라의 갑질?…차 구매 취소해도 수수료 안돌려줘,0
1411,2022.01.03,연합뉴스TV,구매 취소해도 수수료 안 돌려줘…테슬라 제재 착수,0
1412,2022.01.03,금융소비자뉴스,"테슬라, 온라인 주문수수료 안 돌려줬다가 제재된다",0
1433,2022.02.21,조선비즈,[Why] 테슬라·GM이 직접 전기車 보험시장에 뛰어든 이유,0
1434,2022.02.21,YTN,테슬라 '혁신·첨단'인 줄 알았는데...품질·AS 허점 투성이,0
1435,2022.02.21,매일경제,"""테슬라 너마저""…'팔백슬라' 되자 올해 65% 폭락한 이 종목은",0
1437,2022.02.21,아주경제,테슬라 '리콜대란'···국내 AS센터 8곳뿐 혼란 불가피,0
1438,2022.02.21,데일리카,"리콜 수리도 OTA로..테슬라, 안전성 문제 ‘갑을논박’",0
1439,2022.02.21,더드라이브,"테슬라 모델3, 충격적인 사망 사고로 피소",0
1442,2022.02.21,데일리카,"美 규정도 못 맞춘 테슬라 안전벨트 경고, 한국서 알았다",0
1443,2022.02.21,중소기업신문,삼성증권 美 주간 거래 매수상위 '엔비디아·테슬라',1
1601,2022.01.07,한국경제,"뉴욕증시, 긴축우려 지속에 하락…호재에도 테슬라 2%↓",0
1602,2022.01.07,뉴스1,"테슬라 2.15% 하락 마감, 이틀 연속 급락(상보)",0
1603,2022.01.07,연합인포맥스,"WSJ ""테슬라만 '완전 자율주행' 약속하진 않아""",0
1612,2022.01.07,글로벌경제,"애플 테슬라 등 성장주, 이틀째 약세...엔비디아 마이크론 등 반도체주 반등",0
1614,2022.01.07,데일리카,"테슬라 대항마로 불린 리비안, 주가 ‘폭락’..과연 그 원인은?",0
1615,2022.01.07,비즈니스포스트,"테슬라 판매 질주에 엘앤에프 환호, 최수안 양극재 증설 자금도 충분",0
1616,2022.01.07,중소기업신문,"뉴욕증시, 조기 긴축 우려에 하락…테슬라 2%↓",0
1617,2022.01.07,내외경제tv,"뉴욕증시, 美연준 발언에 '또'…애플·테슬라 '휘청'",0
1618,2022.01.07,베타뉴스,테슬라 모델3 기록적 판매량‥영국 內 전기차 비중 11.6%로 상승,1
1623,2022.01.07,뉴스투데이,"[N2 모닝 경제 브리핑-1월 7일] 美 증시, 연준 긴축 부담 속 하락...애플·테슬라·아마존↓",0
1625,2022.01.07,초이스경제,"미국증시 나스닥100 '소폭 하락'....中기술주 '급등', 펠로톤 '급등' vs 테슬라 '하락'",0
1626,2022.01.07,초이스경제,"미국증시 마감 34분전...비트코인 -2.03%, 테슬라 -1.31%, 리비안 -2.56%, 엔비디아 +2.25%",0
1782,2022.01.10,조선비즈,"테슬라, 자율주행옵션 가격 20% 인상",1
1783,2022.01.10,동아일보,"가격 널뛰는 테슬라, 팬덤 효과? 가격 갑질?",1
1784,2022.01.10,아시아경제,"""테슬라 텍사스 기가팩토리 곧 가동""",1
1785,2022.01.10,뉴시스,"""테슬라 잡아라""…美 전기차 시장 경쟁 가열",0
1787,2022.01.10,더구루,"테슬라, 초대형 텍사스 ESS 프로젝트 공개",1
1788,2022.01.10,서울신문,“가장 발전된 교통체증 현장”...조롱거리로 전락한 테슬라 ‘루프’,0
1789,2022.01.10,뉴스1,테슬라 전기차에서 암호화폐 채굴할 수 있다,1
1790,2022.01.10,오토타임즈,"테슬라, 세미 트럭 약점 '초급속'으로 승부 나서",1
1791,2022.01.10,뉴스1,"폭풍질주' 테슬라, 올해 150만대 팔릴듯…작년보다 65% 껑충",1
1806,2022.01.10,뉴스투데이,"[N2 모닝 경제 브리핑-1월 10일] 美 증시, 국채금리 상승 속 하락...테슬라·엔비디아 3%대↓",0
2153,2022.01.10,SBS Biz,"테슬라로 비트코인 채굴…""월 800달러 벌었어요""",1
2173,2022.01.10,조선비즈,"테슬라, 자율주행옵션 가격 20% 인상",0
2174,2022.01.10,뉴시스,"테슬라, 완전자율주행 패키지 가격 20% 올린다",0
2175,2022.01.10,전자신문,"테슬라, 자율주행 옵션 1만2000달러로 20% 가격 인상",0
2176,2022.01.10,한국경제TV,"""벌써 두번째""…테슬라 자율주행옵션 가격 20% 올린다",0
2177,2022.01.10,SBS Biz,"머스크 ""테슬라 FSD 가격 1만2천 달러로 인상""",0
2178,2022.01.10,디지털투데이,"테슬라, 자율주행 옵션 가격 1만2000달러로 인상",0
2179,2022.01.10,내외경제tv,"FSD 식어가는데…테슬라, ""자율주행 옵션 가격 20% 더 올린다""",0
2180,2022.01.10,데일리카,"테슬라, ‘풀 셀프 드라이빙’ 1만2천 달러로 인상..안전문제 해결됐나?",0
2194,2022.01.29,한국일보,머스크 “바이든은 꼭두각시”…테슬라 주가 폭락,0
2195,2022.01.29,파이낸셜뉴스,테슬라 신차 출시 연기에 월가 평가 엇갈려..서학개미들은 '저가매수',0
2196,2022.01.29,한국경제,"800달러대도 '흔들' 테슬라…월가에선 ""그래도 사라""",1
2197,2022.01.29,이투데이,"""입만 열면 논란""…일론 머스크 '사이버트럭' 언급에 테슬라 주가 급락",0
2199,2022.01.29,머니S,"[美친주] 테슬라, 주가 반등 포인트는?… ""완전자율주행 상용화"" 고성장 예상",1
2201,2022.01.29,뉴시스,머스크 발언으로 테슬라사 등 전기차 주식 폭락,0
2206,2022.01.29,뉴스핌,"[GAM] ""테슬라 어쩌나"" 월가 낙관에도 주가 폭락 '노브레이크'",0
2211,2022.01.29,뉴스1,[속보] 테슬라 2.08% 상승한 846.35달러에 마감,1
2212,2022.01.29,글로벌이코노믹,[NY 톡톡] 테슬라 주가가 빌빌거린 까닭은 머스크 ‘입방정’?,0
2213,2022.01.29,연합인포맥스,"캐시 우드의 아크, 테슬라 매수 재개…전날 336억 원어치 매입",1
2219,2022.01.29,핀포인트뉴스,기술주 반등 다우 564포인트 나스닥 417포인트 '날개'... 테슬라 급등에 삼성SDI LG화학 본격 상승?,1
2220,2022.01.29,초이스경제,"미국증시, 막판에 돌연 급등, 2022 최고의 날...애플·테슬라 '껑충' vs 캐터필러·셰브론 '급락'",1
2254,2022.01.29,한국일보,머스크 “바이든은 꼭두각시”…테슬라 주가 폭락,0
2255,2022.01.29,서울경제,"테슬라만 쏙 뺀 바이든에..머스크 ""투표로 몰아내자""",0
2256,2022.01.29,한국경제TV,"테슬라 후발 전기차만 칭찬…머스크 ""바이든, 대중을 바보취급""",0
2275,2022.02.25,이데일리,"“테슬라, 상하이에 공장 신축 예정…중국서 연 200만대 생산 목표”",1
2276,2022.02.25,전자신문,"美 당국, 머스크 형제 조사…테슬라 주식 내부자 거래 혐의",0
2278,2022.02.25,아시아투데이,"소비자주권시민회의 ""테슬라 도어 관련 결함 4년간 1870건 달해""",1
2282,2022.02.25,뉴스1,[속보] 테슬라 4.81% 급등한 800.77 달러에 마감,1
2283,2022.02.25,글로벌경제,"테슬라 5% 엔비디아 6%↑성장주 대형기술주 급등...뉴욕증시, 일제히 상승 마감",1
2284,2022.02.25,SBS Biz,"[서학개미 뭐샀나] 테슬라, 1위 재탈환…잇단 악재에도 러브콜 지속",1
2286,2022.02.25,이코노뉴스,"뉴욕증시, 러시아 우크라이나 침공에도 급반등…MS 5%대 등 기술주 상승반등, 테슬라 4%대 올라 –항공주도 강보합",1
2289,2022.02.25,연합인포맥스,"우크라 전쟁에 유가 100달러대 급등, 테슬라·니오 주가 부진한 이유",0
2292,2022.02.25,SBS Biz,"[글로벌 비즈 브리핑] ​​​​​​​“테슬라, 상하이에 새 공장 건설...생산력 두 배로”",1
2293,2022.02.25,SBS Biz,"[간밤 뉴욕증시 글로벌뉴스 총정리] ""테슬라, 상하이에 새 공장 짓는다""…니콜라, 첫 수익 기대감에 주가 급등",1
2295,2022.02.25,이코노뉴스,"센트랄모텍·명신산업, 테슬라 관련주 모두 상승 흐름…센트랄모텍 2% 상승 이어 명신산업 3% 상승",1
